name,category,address,lat,lon
Yolo Food Bank,Food Security,"233 Harter Ave, Woodland, CA 95776",38.6886148,-121.7606438
Empower Yolo,DV/Housing,"175 Walnut St, Woodland, CA 95695",38.6805296,-121.7777331
Sacramento Steps Forward,Homelessness,"2150 River Plaza Dr, Sacramento, CA 95833",38.6050459,-121.5124398
Anti-Recidivism Coalition,Reentry,"2830 G St, Sacramento, CA 95816",38.5769179,-121.4673527
Child Advocates of Placer County,Youth/Justice,"1430 Blue Oaks Blvd, Roseville, CA 95747",38.7965782,-121.3170336
Stanford Sierra Youth & Families,Youth/Justice,"8912 Volunteer Ln, Sacramento, CA 95826",38.5546327,-121.3753675
Sierra Health Foundation,Health Equity,"1321 Garden Highway, Sacramento, CA 95833",38.6073852,-121.5033578
California Budget & Policy Center,Policy Research,"1107 9th St, Sacramento, CA 95814",38.5793234,-121.4952824
WEAVE Inc,DV/Trauma,"Sacramento, CA",38.5810606,-121.493895
Next Move Sacramento,Housing,"4516 Parker Ave, Sacramento, CA 95820",38.535089,-121.4541215
