NAME,B17001_002E,B17001_001E,B03002_003E,B03002_004E,B03002_012E,B25044_003E,B25044_010E,B25044_001E,state,county,tract,poverty_rate,no_vehicle_rate,pct_black,pct_hispanic
Census Tract 1; Sacramento County; California,315.0,4051.0,2942.0,82.0,649.0,16.0,20.0,1756.0,06,Sacramento,000100,7.8,2.1,2.0,16.0
Census Tract 2; Sacramento County; California,199.0,3609.0,2567.0,86.0,527.0,76.0,74.0,1722.0,06,Sacramento,000200,5.5,8.7,2.4,14.6
Census Tract 3; Sacramento County; California,194.0,3528.0,2716.0,86.0,407.0,14.0,10.0,1585.0,06,Sacramento,000300,5.5,1.5,2.4,11.5
Census Tract 4; Sacramento County; California,436.0,3711.0,2307.0,122.0,988.0,44.0,129.0,2178.0,06,Sacramento,000400,11.7,7.9,3.3,26.6
Census Tract 5.01; Sacramento County; California,503.0,2026.0,1008.0,65.0,495.0,18.0,229.0,1070.0,06,Sacramento,000501,24.8,23.1,3.2,24.4
Census Tract 5.02; Sacramento County; California,167.0,1671.0,909.0,104.0,457.0,0.0,130.0,1048.0,06,Sacramento,000502,10.0,12.4,6.2,27.3
Census Tract 6; Sacramento County; California,249.0,1468.0,774.0,46.0,294.0,0.0,148.0,815.0,06,Sacramento,000600,17.0,18.2,3.1,20.0
Census Tract 7; Sacramento County; California,402.0,803.0,821.0,764.0,458.0,0.0,438.0,595.0,06,Sacramento,000700,50.1,73.6,95.1,57.0
Census Tract 8; Sacramento County; California,363.0,1692.0,1098.0,116.0,357.0,6.0,447.0,1092.0,06,Sacramento,000800,21.5,41.5,6.9,21.1
Census Tract 11.02; Sacramento County; California,373.0,1627.0,805.0,51.0,524.0,9.0,179.0,952.0,06,Sacramento,001102,22.9,19.7,3.1,32.2
Census Tract 11.03; Sacramento County; California,417.0,1308.0,684.0,210.0,251.0,8.0,492.0,976.0,06,Sacramento,001103,31.9,51.2,16.1,19.2
Census Tract 12.01; Sacramento County; California,499.0,2059.0,1249.0,43.0,247.0,0.0,350.0,1422.0,06,Sacramento,001201,24.2,24.6,2.1,12.0
Census Tract 12.02; Sacramento County; California,520.0,2119.0,1005.0,241.0,496.0,182.0,563.0,1644.0,06,Sacramento,001202,24.5,45.3,11.4,23.4
Census Tract 13; Sacramento County; California,567.0,3535.0,2556.0,51.0,597.0,0.0,289.0,2249.0,06,Sacramento,001300,16.0,12.9,1.4,16.9
Census Tract 14; Sacramento County; California,390.0,2308.0,1535.0,128.0,585.0,0.0,470.0,1860.0,06,Sacramento,001400,16.9,25.3,5.5,25.3
Census Tract 15; Sacramento County; California,169.0,4800.0,3908.0,93.0,583.0,47.0,72.0,2476.0,06,Sacramento,001500,3.5,4.8,1.9,12.1
Census Tract 16.01; Sacramento County; California,464.0,3273.0,2192.0,63.0,992.0,11.0,84.0,1572.0,06,Sacramento,001601,14.2,6.0,1.9,30.3
Census Tract 16.02; Sacramento County; California,16.0,2219.0,1648.0,0.0,361.0,75.0,14.0,1082.0,06,Sacramento,001602,0.7,8.2,0.0,16.3
Census Tract 17.01; Sacramento County; California,561.0,2207.0,668.0,8.0,947.0,27.0,36.0,920.0,06,Sacramento,001701,25.4,6.8,0.4,42.9
Census Tract 17.02; Sacramento County; California,811.0,3705.0,2773.0,53.0,424.0,46.0,368.0,2104.0,06,Sacramento,001702,21.9,19.7,1.4,11.4
Census Tract 18; Sacramento County; California,537.0,5591.0,2496.0,623.0,1439.0,17.0,130.0,2707.0,06,Sacramento,001800,9.6,5.4,11.1,25.7
Census Tract 19; Sacramento County; California,428.0,3541.0,2244.0,62.0,720.0,39.0,178.0,1887.0,06,Sacramento,001900,12.1,11.5,1.8,20.3
Census Tract 20; Sacramento County; California,365.0,2899.0,1371.0,44.0,796.0,36.0,179.0,1570.0,06,Sacramento,002000,12.6,13.7,1.5,27.5
Census Tract 21; Sacramento County; California,415.0,2560.0,908.0,298.0,657.0,88.0,92.0,1284.0,06,Sacramento,002100,16.2,14.0,11.6,25.7
Census Tract 22; Sacramento County; California,1280.0,5278.0,1900.0,154.0,1617.0,22.0,57.0,2195.0,06,Sacramento,002200,24.3,3.6,2.9,30.6
Census Tract 23; Sacramento County; California,179.0,3565.0,2783.0,44.0,469.0,15.0,14.0,1747.0,06,Sacramento,002300,5.0,1.7,1.2,13.2
Census Tract 24; Sacramento County; California,270.0,4975.0,3237.0,56.0,1283.0,0.0,63.0,2031.0,06,Sacramento,002400,5.4,3.1,1.1,25.8
Census Tract 25; Sacramento County; California,49.0,1955.0,1487.0,43.0,244.0,7.0,68.0,921.0,06,Sacramento,002500,2.5,8.1,2.2,12.5
Census Tract 26; Sacramento County; California,223.0,2598.0,1831.0,120.0,282.0,50.0,31.0,1367.0,06,Sacramento,002600,8.6,5.9,4.6,10.9
Census Tract 27; Sacramento County; California,757.0,3474.0,1568.0,468.0,876.0,51.0,80.0,1564.0,06,Sacramento,002700,21.8,8.4,13.5,25.2
Census Tract 28; Sacramento County; California,1031.0,3339.0,852.0,698.0,1144.0,6.0,154.0,1185.0,06,Sacramento,002800,30.9,13.5,20.9,34.3
Census Tract 29; Sacramento County; California,896.0,5130.0,3322.0,126.0,1061.0,80.0,17.0,2491.0,06,Sacramento,002900,17.5,3.9,2.5,20.7
Census Tract 30.01; Sacramento County; California,454.0,2971.0,928.0,438.0,1086.0,58.0,35.0,1178.0,06,Sacramento,003001,15.3,7.9,14.7,36.6
Census Tract 30.02; Sacramento County; California,380.0,3587.0,1989.0,152.0,1087.0,29.0,41.0,1860.0,06,Sacramento,003002,10.6,3.8,4.2,30.3
Census Tract 31.01; Sacramento County; California,474.0,3487.0,875.0,166.0,2123.0,9.0,16.0,1178.0,06,Sacramento,003101,13.6,2.1,4.8,60.9
Census Tract 31.02; Sacramento County; California,290.0,3084.0,770.0,239.0,1775.0,45.0,39.0,978.0,06,Sacramento,003102,9.4,8.6,7.7,57.6
Census Tract 32.02; Sacramento County; California,1071.0,4944.0,901.0,84.0,2279.0,0.0,214.0,1661.0,06,Sacramento,003202,21.7,12.9,1.7,46.1
Census Tract 32.03; Sacramento County; California,752.0,2971.0,322.0,128.0,759.0,5.0,19.0,709.0,06,Sacramento,003203,25.3,3.4,4.3,25.5
Census Tract 32.04; Sacramento County; California,1290.0,5249.0,667.0,211.0,1641.0,8.0,10.0,1351.0,06,Sacramento,003204,24.6,1.3,4.0,31.3
Census Tract 33; Sacramento County; California,394.0,4655.0,2822.0,142.0,916.0,10.0,15.0,1916.0,06,Sacramento,003300,8.5,1.3,3.1,19.7
Census Tract 34; Sacramento County; California,426.0,4420.0,1796.0,208.0,1428.0,76.0,124.0,1952.0,06,Sacramento,003400,9.6,10.2,4.7,32.3
Census Tract 35.01; Sacramento County; California,377.0,2447.0,1049.0,137.0,765.0,17.0,53.0,1423.0,06,Sacramento,003501,15.4,4.9,5.6,31.3
Census Tract 35.02; Sacramento County; California,232.0,3067.0,1371.0,125.0,676.0,30.0,63.0,1257.0,06,Sacramento,003502,7.6,7.4,4.1,22.0
Census Tract 36; Sacramento County; California,362.0,2521.0,844.0,138.0,1222.0,17.0,18.0,961.0,06,Sacramento,003600,14.4,3.6,5.5,48.5
Census Tract 37; Sacramento County; California,1194.0,4696.0,458.0,674.0,2318.0,66.0,18.0,1417.0,06,Sacramento,003700,25.4,5.9,14.4,49.4
Census Tract 38; Sacramento County; California,331.0,5415.0,965.0,1023.0,1975.0,33.0,14.0,1654.0,06,Sacramento,003800,6.1,2.8,18.9,36.5
Census Tract 39; Sacramento County; California,247.0,3622.0,1542.0,240.0,1060.0,69.0,8.0,1711.0,06,Sacramento,003900,6.8,4.5,6.6,29.3
Census Tract 40.05; Sacramento County; California,227.0,4223.0,1637.0,724.0,824.0,24.0,104.0,1998.0,06,Sacramento,004005,5.4,6.4,17.1,19.5
Census Tract 40.06; Sacramento County; California,578.0,5163.0,1120.0,1179.0,1014.0,0.0,170.0,2570.0,06,Sacramento,004006,11.2,6.6,22.8,19.6
Census Tract 40.08; Sacramento County; California,283.0,3337.0,1139.0,341.0,633.0,9.0,0.0,1404.0,06,Sacramento,004008,8.5,0.6,10.2,19.0
Census Tract 40.11; Sacramento County; California,161.0,3260.0,1006.0,308.0,305.0,0.0,7.0,1435.0,06,Sacramento,004011,4.9,0.5,9.4,9.4
Census Tract 40.12; Sacramento County; California,249.0,4066.0,1237.0,690.0,913.0,19.0,0.0,1492.0,06,Sacramento,004012,6.1,1.3,17.0,22.5
Census Tract 40.13; Sacramento County; California,158.0,3911.0,975.0,276.0,1103.0,72.0,31.0,1532.0,06,Sacramento,004013,4.0,6.7,7.1,28.2
Census Tract 40.14; Sacramento County; California,75.0,2327.0,787.0,495.0,531.0,36.0,15.0,1106.0,06,Sacramento,004014,3.2,4.6,21.3,22.8
